Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
UK,2018,Malware,Banking,41.34,82287,Unknown,Unpatched Software,Encryption,61,502.39
USA,2020,Man-in-the-Middle,Education,44.85,527938,Nation-state,Zero-day,Encryption,1,84.95
UK,2022,DDoS,Telecommunications,50.9,645154,Insider,Weak Passwords,AI-based Detection,16,78.9
India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3,35.5
Russia,2015,DDoS,Retail,69.61,26321,Nation-state,Zero-day,Encryption,11,2644.66
Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39,53.82
Russia,2019,Malware,Retail,11.57,367712,Nation-state,Weak Passwords,Firewall,13,31.46
Russia,2015,DDoS,Telecommunications,83.28,236346,Insider,Unpatched Software,AI-based Detection,55,352.36
Australia,2018,SQL Injection,Retail,51.46,287089,Nation-state,Weak Passwords,Encryption,8,179.25
Brazil,2024,Malware,Healthcare,50.71,964191,Unknown,Weak Passwords,VPN,36,52.59
China,2016,SQL Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70,942.18
Japan,2015,Phishing,Government,98.29,850600,Insider,Zero-day,Encryption,17,115.55
France,2024,Phishing,Retail,45.57,201137,Hacker Group,Zero-day,Antivirus,25,226.56
Germany,2017,Malware,Healthcare,1.68,859708,Nation-state,Weak Passwords,Encryption,10,1.95
Russia,2016,Phishing,Government,2.74,863777,Insider,Zero-day,Antivirus,20,3.17
Japan,2024,SQL Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32,129.21
Russia,2022,SQL Injection,Government,69.09,474183,Insider,Weak Passwords,Antivirus,27,145.7
Brazil,2018,SQL Injection,Retail,36.63,829742,Insider,Unpatched Software,Firewall,57,44.15
USA,2021,DDoS,Telecommunications,99.81,460842,Unknown,Weak Passwords,AI-based Detection,59,216.58
Australia,2022,Malware,Retail,47.33,839881,Unknown,Zero-day,Firewall,51,56.35
Brazil,2017,DDoS,IT,72.48,860625,Unknown,Zero-day,Firewall,4,84.22
UK,2019,SQL Injection,Healthcare,65.47,263110,Insider,Social Engineering,Firewall,6,248.83
Japan,2020,Man-in-the-Middle,IT,13.61,506364,Nation-state,Social Engineering,Firewall,66,26.88
USA,2021,Phishing,Education,6.01,176772,Insider,Unpatched Software,Firewall,6,34.0
Brazil,2021,SQL Injection,Retail,1.32,564277,Nation-state,Weak Passwords,Firewall,1,2.34
Australia,2017,Man-in-the-Middle,Retail,47.97,36780,Insider,Unpatched Software,AI-based Detection,64,1304.24
Germany,2021,Ransomware,Retail,46.82,589744,Nation-state,Weak Passwords,VPN,32,79.39
Russia,2018,Malware,Government,59.01,309230,Hacker Group,Social Engineering,Encryption,61,190.83
China,2024,Man-in-the-Middle,Telecommunications,53.59,4913,Hacker Group,Weak Passwords,AI-based Detection,61,10907.8
Brazil,2020,SQL Injection,Education,50.41,350295,Insider,Unpatched Software,Encryption,5,143.91
USA,2020,DDoS,Banking,60.2,998937,Nation-state,Zero-day,Antivirus,19,60.26
Brazil,2018,Malware,Telecommunications,96.22,445546,Nation-state,Weak Passwords,Firewall,45,215.96
Brazil,2023,SQL Injection,Healthcare,7.33,486146,Insider,Zero-day,Firewall,12,15.08
UK,2016,Phishing,Education,29.49,466333,Hacker Group,Zero-day,Firewall,51,63.24
Japan,2019,Phishing,Government,73.35,706019,Nation-state,Zero-day,Encryption,65,103.89
UK,2020,DDoS,Retail,70.03,971464,Nation-state,Weak Passwords,Firewall,4,72.09
India,2015,Man-in-the-Middle,IT,76.97,224983,Nation-state,Weak Passwords,AI-based Detection,42,342.11
Brazil,2019,Ransomware,Telecommunications,87.41,919425,Nation-state,Unpatched Software,Encryption,45,95.07
Russia,2023,DDoS,Telecommunications,57.25,115138,Unknown,Unpatched Software,Encryption,42,497.23
Japan,2020,Phishing,IT,99.57,786468,Nation-state,Social Engineering,AI-based Detection,42,126.6
India,2023,Phishing,Retail,5.11,620560,Hacker Group,Weak Passwords,Antivirus,59,8.23
USA,2017,Malware,Government,56.74,976007,Insider,Social Engineering,Encryption,59,58.13
France,2016,DDoS,Education,46.58,361163,Hacker Group,Zero-day,Firewall,38,128.97
Brazil,2017,Ransomware,Healthcare,54.78,469735,Nation-state,Zero-day,Encryption,57,116.62
USA,2015,Man-in-the-Middle,IT,46.27,117231,Unknown,Unpatched Software,AI-based Detection,28,394.69
Germany,2018,Ransomware,Healthcare,14.38,276925,Unknown,Unpatched Software,VPN,54,51.93
Australia,2019,Malware,Telecommunications,37.3,208089,Unknown,Zero-day,Antivirus,33,179.25
Australia,2016,Phishing,Telecommunications,63.81,71720,Hacker Group,Zero-day,Encryption,21,889.71
Russia,2024,Ransomware,Telecommunications,35.62,236676,Nation-state,Social Engineering,AI-based Detection,67,150.5
India,2024,Man-in-the-Middle,Telecommunications,93.46,409281,Nation-state,Weak Passwords,Antivirus,18,228.35
Japan,2023,Phishing,Banking,82.36,612815,Insider,Zero-day,Antivirus,12,134.4
Russia,2018,SQL Injection,Telecommunications,11.32,153618,Nation-state,Weak Passwords,VPN,29,73.69
India,2023,Ransomware,Banking,57.15,704230,Nation-state,Zero-day,VPN,71,81.15
China,2019,Malware,Retail,79.37,863510,Hacker Group,Weak Passwords,VPN,2,91.92
India,2024,DDoS,Healthcare,4.08,488599,Unknown,Social Engineering,Encryption,11,8.35
France,2022,Ransomware,Healthcare,80.73,964782,Unknown,Weak Passwords,VPN,47,83.68
Germany,2018,Man-in-the-Middle,IT,48.96,323027,Unknown,Unpatched Software,Encryption,49,151.57
China,2023,Man-in-the-Middle,Education,10.55,12970,Unknown,Social Engineering,Antivirus,32,813.42
India,2020,Man-in-the-Middle,Government,50.19,659835,Unknown,Zero-day,Encryption,46,76.06
China,2023,SQL Injection,Telecommunications,66.92,336320,Hacker Group,Social Engineering,VPN,51,198.98
China,2017,Man-in-the-Middle,Banking,47.52,83617,Insider,Unpatched Software,AI-based Detection,64,568.31
Brazil,2018,Malware,Banking,87.13,99178,Nation-state,Unpatched Software,Antivirus,27,878.52
Brazil,2024,Ransomware,Education,80.1,489369,Nation-state,Unpatched Software,Encryption,41,163.68
Russia,2017,Phishing,Telecommunications,2.22,620350,Hacker Group,Zero-day,Firewall,45,3.58
USA,2020,DDoS,Healthcare,38.14,846602,Insider,Weak Passwords,Firewall,31,45.05
India,2017,Malware,Government,61.02,650042,Nation-state,Unpatched Software,Antivirus,48,93.87
Japan,2019,Man-in-the-Middle,Government,61.01,549197,Hacker Group,Social Engineering,Antivirus,59,111.09
France,2023,Phishing,IT,15.49,138639,Hacker Group,Unpatched Software,VPN,14,111.73
Australia,2024,Man-in-the-Middle,Healthcare,93.4,833819,Insider,Unpatched Software,Antivirus,14,112.01
India,2022,Malware,Retail,13.88,813217,Insider,Zero-day,AI-based Detection,71,17.07
UK,2017,Malware,Banking,11.25,636273,Insider,Zero-day,Antivirus,30,17.68
Russia,2017,Man-in-the-Middle,Banking,66.53,45277,Insider,Social Engineering,Firewall,43,1469.4
Australia,2015,Phishing,Telecommunications,89.41,488342,Hacker Group,Unpatched Software,Firewall,23,183.09
France,2019,Phishing,IT,55.31,526220,Nation-state,Social Engineering,AI-based Detection,2,105.11
USA,2023,DDoS,Education,90.38,311596,Insider,Weak Passwords,VPN,23,290.06
Brazil,2024,DDoS,Retail,25.17,658226,Insider,Weak Passwords,VPN,52,38.24
India,2019,Phishing,Education,6.29,344693,Hacker Group,Social Engineering,Encryption,19,18.25
France,2016,Phishing,Education,37.57,380995,Unknown,Weak Passwords,VPN,60,98.61
Brazil,2018,Malware,Banking,3.1,458185,Insider,Social Engineering,AI-based Detection,31,6.77
Brazil,2022,Man-in-the-Middle,Education,91.69,581034,Insider,Social Engineering,VPN,67,157.8
Russia,2019,Ransomware,Retail,19.97,722544,Hacker Group,Social Engineering,Encryption,14,27.64
Brazil,2024,Phishing,IT,28.78,793783,Insider,Social Engineering,Firewall,17,36.26
China,2023,SQL Injection,IT,53.21,620822,Unknown,Zero-day,Firewall,21,85.71
Russia,2022,Ransomware,Healthcare,16.6,715102,Insider,Zero-day,Antivirus,2,23.21
Russia,2021,Man-in-the-Middle,Banking,44.32,634390,Unknown,Zero-day,Antivirus,54,69.86
Japan,2021,Ransomware,Government,10.34,791473,Nation-state,Weak Passwords,Firewall,58,13.06
China,2022,Phishing,IT,41.81,631816,Unknown,Weak Passwords,Firewall,29,66.17
Germany,2016,Malware,Banking,84.54,517353,Nation-state,Social Engineering,Antivirus,41,163.41
Japan,2015,Malware,Telecommunications,40.38,118734,Insider,Unpatched Software,AI-based Detection,21,340.09
India,2020,Man-in-the-Middle,Education,39.15,963367,Insider,Zero-day,Encryption,50,40.64
Australia,2021,SQL Injection,Telecommunications,22.51,71557,Insider,Social Engineering,Antivirus,47,314.57
Brazil,2017,Ransomware,Government,58.18,824704,Hacker Group,Zero-day,Antivirus,30,70.55
Germany,2023,Man-in-the-Middle,Banking,92.48,1326,Nation-state,Social Engineering,Antivirus,11,69743.59
UK,2015,Phishing,Banking,51.38,630931,Insider,Zero-day,AI-based Detection,48,81.44
Germany,2016,Phishing,Government,93.61,395731,Insider,Unpatched Software,AI-based Detection,64,236.55
Australia,2017,Ransomware,Government,27.38,918816,Unknown,Weak Passwords,AI-based Detection,58,29.8
Australia,2021,Malware,Healthcare,74.61,357205,Nation-state,Weak Passwords,Antivirus,21,208.87
UK,2019,SQL Injection,IT,78.84,464960,Unknown,Unpatched Software,Encryption,24,169.56
USA,2019,Ransomware,Telecommunications,65.7,51619,Insider,Unpatched Software,VPN,3,1272.79
Brazil,2017,Phishing,IT,81.04,850794,Unknown,Social Engineering,Antivirus,69,95.25
France,2015,Man-in-the-Middle,Banking,27.2,559841,Nation-state,Unpatched Software,VPN,22,48.59
China,2018,DDoS,Healthcare,86.38,685136,Nation-state,Weak Passwords,Antivirus,62,126.08
Brazil,2016,Malware,Education,83.93,102797,Unknown,Weak Passwords,Firewall,17,816.46
France,2022,Ransomware,Healthcare,40.36,439046,Insider,Social Engineering,VPN,42,91.93
USA,2019,SQL Injection,Telecommunications,57.4,51312,Insider,Social Engineering,AI-based Detection,26,1118.65
Brazil,2022,Ransomware,Retail,1.42,510870,Unknown,Unpatched Software,AI-based Detection,35,2.78
Russia,2021,SQL Injection,Government,66.5,348118,Hacker Group,Zero-day,VPN,42,191.03
Australia,2016,Ransomware,Healthcare,47.18,509930,Unknown,Social Engineering,AI-based Detection,68,92.52
UK,2016,Ransomware,IT,58.99,822380,Hacker Group,Zero-day,Firewall,26,71.73
Germany,2022,SQL Injection,Banking,52.91,619669,Unknown,Unpatched Software,Antivirus,19,85.38
Australia,2023,SQL Injection,Telecommunications,20.95,341111,Insider,Weak Passwords,VPN,14,61.42
France,2018,Ransomware,Government,2.79,443730,Hacker Group,Weak Passwords,Antivirus,39,6.29
Japan,2017,DDoS,IT,27.76,824968,Insider,Weak Passwords,Encryption,15,33.65
Japan,2016,Man-in-the-Middle,Retail,58.77,172346,Nation-state,Social Engineering,AI-based Detection,51,341.0
Germany,2022,DDoS,Telecommunications,51.95,919855,Hacker Group,Weak Passwords,Antivirus,56,56.48
Germany,2021,Man-in-the-Middle,IT,90.57,254634,Hacker Group,Social Engineering,AI-based Detection,5,355.69
France,2022,Phishing,Retail,39.15,724409,Unknown,Weak Passwords,Antivirus,56,54.04
UK,2018,Phishing,Healthcare,95.3,269142,Unknown,Unpatched Software,Encryption,72,354.09
India,2024,Phishing,Retail,92.48,32067,Insider,Unpatched Software,Antivirus,19,2883.96
Germany,2020,Malware,Government,32.2,591314,Hacker Group,Weak Passwords,Encryption,65,54.45
Germany,2019,SQL Injection,Healthcare,91.72,149171,Hacker Group,Zero-day,VPN,64,614.86
Brazil,2016,DDoS,IT,13.52,535205,Hacker Group,Social Engineering,AI-based Detection,53,25.26
Germany,2022,Ransomware,Education,87.93,471889,Nation-state,Zero-day,Antivirus,4,186.34
France,2019,Phishing,Healthcare,52.18,869751,Insider,Zero-day,Firewall,12,59.99
Russia,2017,DDoS,Education,50.42,690010,Nation-state,Weak Passwords,Firewall,18,73.07
Brazil,2017,Ransomware,Healthcare,32.9,433987,Unknown,Zero-day,AI-based Detection,21,75.81
UK,2017,Phishing,Banking,1.54,31262,Unknown,Social Engineering,Firewall,56,49.26
Australia,2022,Malware,Retail,32.26,824433,Nation-state,Unpatched Software,AI-based Detection,60,39.13
Germany,2023,Man-in-the-Middle,Retail,23.28,651963,Insider,Unpatched Software,AI-based Detection,53,35.71
France,2017,SQL Injection,Education,81.06,349070,Unknown,Zero-day,VPN,41,232.22
USA,2024,Malware,Telecommunications,71.42,967411,Hacker Group,Social Engineering,AI-based Detection,47,73.83
Japan,2021,SQL Injection,Retail,64.81,263770,Unknown,Social Engineering,Antivirus,62,245.71
UK,2016,Phishing,Retail,85.89,714670,Hacker Group,Weak Passwords,VPN,32,120.18
USA,2021,DDoS,Telecommunications,47.84,498904,Hacker Group,Zero-day,Antivirus,65,95.89
USA,2024,Phishing,Education,47.95,569539,Unknown,Weak Passwords,Encryption,18,84.19
China,2016,Man-in-the-Middle,Retail,82.52,217938,Nation-state,Weak Passwords,VPN,69,378.64
China,2022,Ransomware,Retail,36.48,172607,Unknown,Zero-day,VPN,60,211.35
India,2023,Man-in-the-Middle,Retail,95.66,424762,Insider,Unpatched Software,VPN,10,225.21
Japan,2019,Man-in-the-Middle,IT,42.34,130309,Insider,Zero-day,AI-based Detection,56,324.92
India,2018,DDoS,Government,65.11,95378,Insider,Social Engineering,Antivirus,67,682.65
India,2017,Phishing,IT,53.95,920801,Nation-state,Zero-day,Antivirus,52,58.59
Japan,2020,Man-in-the-Middle,Retail,91.36,551038,Insider,Social Engineering,Firewall,21,165.8
China,2016,Malware,Telecommunications,85.8,962508,Unknown,Social Engineering,AI-based Detection,13,89.14
France,2020,Malware,Healthcare,92.29,267554,Hacker Group,Social Engineering,Firewall,45,344.94
Japan,2020,Ransomware,IT,25.3,76258,Unknown,Social Engineering,VPN,43,331.77
Russia,2016,Malware,Banking,3.6,661377,Hacker Group,Weak Passwords,Antivirus,66,5.44
Australia,2022,SQL Injection,Retail,56.62,310341,Unknown,Weak Passwords,Encryption,32,182.44
Russia,2017,Phishing,Education,66.25,702883,Insider,Unpatched Software,VPN,31,94.25
USA,2017,Malware,Education,78.38,516103,Hacker Group,Unpatched Software,Firewall,62,151.87
USA,2015,Malware,Retail,84.7,542283,Hacker Group,Social Engineering,Firewall,64,156.19
Russia,2016,SQL Injection,Government,43.75,173441,Hacker Group,Social Engineering,Antivirus,43,252.25
France,2017,DDoS,Retail,67.36,856228,Hacker Group,Zero-day,Encryption,47,78.67
UK,2019,Malware,IT,68.54,791265,Hacker Group,Social Engineering,Firewall,65,86.62
USA,2019,Malware,Retail,45.42,969699,Hacker Group,Social Engineering,Firewall,63,46.84
Russia,2023,Malware,Telecommunications,95.0,338867,Nation-state,Unpatched Software,AI-based Detection,34,280.35
Japan,2018,Ransomware,Government,44.98,951249,Hacker Group,Weak Passwords,VPN,25,47.29
USA,2022,Ransomware,IT,50.4,34584,Insider,Zero-day,Firewall,43,1457.32
Brazil,2021,Malware,Education,74.37,298836,Hacker Group,Social Engineering,Encryption,29,248.87
Brazil,2018,Malware,Retail,27.82,526161,Unknown,Unpatched Software,AI-based Detection,12,52.87
Brazil,2020,Phishing,Government,76.95,476308,Insider,Social Engineering,VPN,44,161.56
China,2017,SQL Injection,Banking,29.39,206897,Unknown,Zero-day,Encryption,18,142.05
Japan,2022,Malware,IT,1.92,2653,Nation-state,Unpatched Software,AI-based Detection,56,723.71
UK,2024,Ransomware,Healthcare,90.37,540353,Hacker Group,Unpatched Software,Antivirus,68,167.24
Germany,2015,Phishing,Retail,84.77,779922,Nation-state,Zero-day,Antivirus,50,108.69
Germany,2016,Ransomware,Education,24.4,908906,Hacker Group,Weak Passwords,AI-based Detection,46,26.85
Russia,2021,Man-in-the-Middle,Healthcare,28.34,446741,Nation-state,Weak Passwords,Firewall,20,63.44
India,2023,Phishing,Education,9.95,317488,Insider,Social Engineering,VPN,46,31.34
Brazil,2024,Phishing,IT,72.33,182613,Unknown,Unpatched Software,AI-based Detection,26,396.08
UK,2018,Ransomware,IT,61.42,211305,Hacker Group,Zero-day,Encryption,27,290.67
UK,2024,DDoS,Government,68.83,60379,Hacker Group,Unpatched Software,Firewall,32,1139.97
Russia,2020,Ransomware,Healthcare,11.11,785179,Unknown,Weak Passwords,VPN,2,14.15
Russia,2022,SQL Injection,Telecommunications,1.99,652682,Insider,Social Engineering,Encryption,46,3.05
Brazil,2022,SQL Injection,Banking,5.85,52649,Nation-state,Unpatched Software,Encryption,57,111.11
Germany,2024,Man-in-the-Middle,Government,45.75,865871,Insider,Weak Passwords,Antivirus,58,52.84
Russia,2022,DDoS,Retail,93.71,474552,Nation-state,Zero-day,Encryption,20,197.47
France,2024,SQL Injection,Healthcare,5.7,400840,Insider,Social Engineering,VPN,57,14.22
USA,2020,Phishing,Education,60.57,275819,Nation-state,Social Engineering,Firewall,69,219.6
Brazil,2021,DDoS,Retail,89.79,454088,Hacker Group,Social Engineering,VPN,70,197.74
France,2018,Phishing,Government,30.68,338619,Hacker Group,Unpatched Software,Antivirus,68,90.6
Brazil,2018,Malware,Banking,31.56,940038,Hacker Group,Zero-day,Antivirus,24,33.57
USA,2017,DDoS,Government,98.73,17805,Nation-state,Weak Passwords,Antivirus,31,5545.07
Japan,2020,SQL Injection,Telecommunications,92.13,244933,Nation-state,Social Engineering,AI-based Detection,37,376.14
USA,2016,Phishing,Retail,71.14,198602,Unknown,Zero-day,Firewall,18,358.2
India,2023,DDoS,Retail,73.85,504861,Unknown,Weak Passwords,Antivirus,65,146.28
UK,2016,Malware,Telecommunications,91.24,695618,Nation-state,Social Engineering,Antivirus,14,131.16
China,2022,Man-in-the-Middle,Healthcare,5.4,270732,Unknown,Weak Passwords,Firewall,31,19.95
UK,2015,Phishing,Retail,77.58,270326,Nation-state,Social Engineering,Firewall,24,286.99
Russia,2017,Man-in-the-Middle,Government,80.95,827534,Hacker Group,Unpatched Software,Firewall,29,97.82
Germany,2020,Man-in-the-Middle,Retail,46.07,32499,Insider,Zero-day,Firewall,14,1417.58
Russia,2016,Malware,Telecommunications,52.2,279065,Hacker Group,Unpatched Software,VPN,62,187.05
Germany,2017,Ransomware,Telecommunications,49.56,119598,Insider,Unpatched Software,Encryption,43,414.39
Germany,2016,SQL Injection,Education,61.78,387500,Nation-state,Weak Passwords,AI-based Detection,30,159.43
Brazil,2018,Phishing,Education,66.07,656031,Nation-state,Social Engineering,Encryption,36,100.71
China,2022,Ransomware,Education,85.72,637259,Unknown,Zero-day,VPN,57,134.51
Russia,2023,SQL Injection,Education,0.98,623106,Nation-state,Weak Passwords,Firewall,43,1.57
India,2015,DDoS,Education,21.74,513867,Unknown,Zero-day,Firewall,34,42.31
Australia,2023,Man-in-the-Middle,Healthcare,7.54,710871,Insider,Zero-day,Firewall,55,10.61
India,2020,Malware,Healthcare,7.08,875225,Unknown,Zero-day,Antivirus,31,8.09
Germany,2024,Malware,Retail,71.2,989625,Unknown,Social Engineering,Firewall,53,71.95
China,2016,DDoS,Education,89.08,210433,Insider,Weak Passwords,AI-based Detection,63,423.32
USA,2018,Malware,IT,26.31,709153,Hacker Group,Weak Passwords,VPN,45,37.1
France,2020,Ransomware,IT,21.11,568832,Nation-state,Social Engineering,Firewall,12,37.11
China,2022,Phishing,Retail,51.76,355545,Unknown,Weak Passwords,Encryption,68,145.58
Germany,2019,Phishing,Education,90.91,112635,Insider,Weak Passwords,Firewall,55,807.12
Brazil,2015,SQL Injection,Banking,89.39,988268,Unknown,Zero-day,VPN,44,90.45
India,2021,Malware,Education,65.87,357399,Nation-state,Zero-day,Encryption,2,184.3
Japan,2018,Man-in-the-Middle,Government,78.16,512258,Hacker Group,Weak Passwords,Encryption,32,152.58
Australia,2024,Ransomware,Healthcare,24.21,180760,Nation-state,Weak Passwords,Encryption,34,133.93
USA,2023,Man-in-the-Middle,Retail,81.16,691638,Unknown,Zero-day,Antivirus,17,117.34
Russia,2019,Ransomware,IT,80.18,123757,Insider,Social Engineering,Encryption,54,647.88
Germany,2018,DDoS,Telecommunications,70.0,702285,Hacker Group,Zero-day,AI-based Detection,46,99.67
Australia,2022,DDoS,Education,9.73,907708,Unknown,Unpatched Software,AI-based Detection,44,10.72
Australia,2015,DDoS,Healthcare,4.49,713160,Hacker Group,Unpatched Software,Encryption,26,6.3
USA,2022,Malware,Banking,46.75,239200,Nation-state,Social Engineering,Encryption,8,195.44
China,2016,DDoS,Healthcare,63.15,500521,Nation-state,Weak Passwords,Encryption,27,126.17
India,2015,Phishing,IT,25.47,741259,Hacker Group,Unpatched Software,Antivirus,18,34.36
Japan,2021,SQL Injection,Education,3.97,604843,Insider,Unpatched Software,AI-based Detection,40,6.56
UK,2023,SQL Injection,Education,19.17,697610,Insider,Weak Passwords,Encryption,18,27.48
Germany,2022,SQL Injection,IT,58.35,730850,Hacker Group,Weak Passwords,AI-based Detection,27,79.84
Australia,2018,SQL Injection,IT,65.08,417807,Insider,Social Engineering,Firewall,46,155.77
India,2020,Malware,Healthcare,3.74,58205,Hacker Group,Unpatched Software,Encryption,63,64.26
India,2016,SQL Injection,Healthcare,33.11,830670,Unknown,Social Engineering,Antivirus,11,39.86
Brazil,2024,Ransomware,Government,57.7,691990,Insider,Weak Passwords,Antivirus,41,83.38
USA,2015,Ransomware,Retail,74.68,498089,Insider,Weak Passwords,Encryption,18,149.93
China,2015,Ransomware,IT,86.82,748040,Insider,Weak Passwords,Firewall,18,116.06
Brazil,2018,Ransomware,Healthcare,4.51,909979,Nation-state,Social Engineering,VPN,65,4.96
Australia,2019,Man-in-the-Middle,Banking,27.0,286038,Nation-state,Social Engineering,Encryption,43,94.39
Russia,2021,SQL Injection,Retail,82.88,479586,Insider,Zero-day,AI-based Detection,8,172.82
Australia,2020,Phishing,Banking,42.03,454763,Hacker Group,Social Engineering,Firewall,14,92.42
UK,2019,Phishing,Telecommunications,33.85,60183,Nation-state,Unpatched Software,AI-based Detection,17,562.45
Russia,2018,Phishing,Education,94.6,596801,Nation-state,Weak Passwords,Antivirus,70,158.51
China,2021,Ransomware,IT,71.9,698786,Hacker Group,Zero-day,Antivirus,21,102.89
Japan,2021,DDoS,Telecommunications,94.23,441749,Nation-state,Unpatched Software,AI-based Detection,55,213.31
China,2018,SQL Injection,Healthcare,76.4,966102,Hacker Group,Social Engineering,Firewall,1,79.08
India,2017,Malware,Healthcare,66.29,430200,Unknown,Zero-day,Antivirus,48,154.09
UK,2023,Ransomware,Banking,49.89,638668,Nation-state,Social Engineering,Encryption,47,78.12
UK,2019,DDoS,Healthcare,81.91,127817,Nation-state,Weak Passwords,Antivirus,66,640.84
Brazil,2017,Man-in-the-Middle,Government,14.54,491794,Nation-state,Zero-day,Encryption,4,29.57
Germany,2024,Ransomware,IT,33.44,737958,Hacker Group,Social Engineering,Encryption,54,45.31
Australia,2017,DDoS,Education,31.74,724207,Hacker Group,Weak Passwords,Firewall,54,43.83
Germany,2018,SQL Injection,Healthcare,78.11,451780,Hacker Group,Unpatched Software,VPN,28,172.89
India,2016,Man-in-the-Middle,Healthcare,8.25,875227,Unknown,Zero-day,AI-based Detection,20,9.43
Brazil,2018,Malware,Banking,17.52,334945,Nation-state,Weak Passwords,Antivirus,33,52.31
Australia,2023,DDoS,IT,81.89,525978,Unknown,Weak Passwords,Antivirus,12,155.69
UK,2016,Phishing,Retail,37.29,761252,Insider,Weak Passwords,VPN,57,48.99
China,2017,Phishing,Government,38.87,168075,Insider,Social Engineering,AI-based Detection,52,231.27
Japan,2015,Ransomware,Banking,6.57,443408,Hacker Group,Weak Passwords,Encryption,71,14.82
UK,2018,DDoS,IT,17.99,60917,Unknown,Zero-day,VPN,1,295.32
USA,2017,Man-in-the-Middle,Banking,59.54,839892,Nation-state,Weak Passwords,Encryption,20,70.89
Brazil,2021,Ransomware,Government,72.14,673933,Unknown,Zero-day,AI-based Detection,22,107.04
USA,2021,Ransomware,Education,84.64,534283,Insider,Social Engineering,VPN,49,158.42
UK,2022,DDoS,Education,32.2,49715,Insider,Unpatched Software,Encryption,72,647.69
China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15,3.9
Russia,2021,SQL Injection,Healthcare,48.71,861410,Unknown,Social Engineering,VPN,7,56.55
Germany,2016,DDoS,Telecommunications,14.28,547178,Insider,Social Engineering,Firewall,45,26.1
Japan,2020,Ransomware,Banking,37.38,273660,Insider,Weak Passwords,Firewall,6,136.59
Brazil,2023,Phishing,IT,23.01,195113,Unknown,Unpatched Software,Encryption,4,117.93
China,2018,Man-in-the-Middle,Banking,9.77,881294,Insider,Unpatched Software,AI-based Detection,3,11.09
USA,2024,Phishing,Government,58.64,146937,Hacker Group,Social Engineering,Firewall,10,399.08
Russia,2016,Phishing,Healthcare,11.29,72191,Unknown,Weak Passwords,Antivirus,3,156.39
Australia,2022,Man-in-the-Middle,Government,90.65,898589,Hacker Group,Zero-day,AI-based Detection,58,100.88
Japan,2024,Malware,Telecommunications,30.66,430306,Nation-state,Weak Passwords,VPN,67,71.25
Australia,2022,DDoS,IT,27.02,835814,Insider,Weak Passwords,Encryption,40,32.33
Russia,2015,SQL Injection,IT,56.07,837322,Insider,Zero-day,AI-based Detection,25,66.96
Russia,2019,SQL Injection,Telecommunications,10.88,299403,Unknown,Unpatched Software,Antivirus,23,36.34
USA,2024,Man-in-the-Middle,Government,96.13,482492,Unknown,Social Engineering,Encryption,17,199.24
China,2022,DDoS,IT,88.61,777010,Hacker Group,Weak Passwords,VPN,34,114.04
Germany,2021,DDoS,IT,73.5,806210,Unknown,Weak Passwords,Antivirus,5,91.17
China,2024,Malware,Government,1.17,281616,Nation-state,Unpatched Software,Encryption,6,4.15
India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21,50.75
USA,2020,Malware,Retail,59.15,179586,Hacker Group,Social Engineering,VPN,27,329.37
UK,2022,Phishing,Retail,26.63,725905,Hacker Group,Zero-day,VPN,54,36.69
USA,2016,DDoS,Healthcare,30.49,723411,Hacker Group,Weak Passwords,AI-based Detection,40,42.15
India,2024,Malware,Banking,14.01,141437,Nation-state,Weak Passwords,Firewall,10,99.05
USA,2019,DDoS,Government,49.88,441744,Unknown,Weak Passwords,Firewall,40,112.92
Japan,2016,Malware,Telecommunications,4.84,936738,Insider,Weak Passwords,Antivirus,8,5.17
USA,2024,Malware,Education,75.51,822636,Insider,Social Engineering,Antivirus,63,91.79
Australia,2018,Malware,Banking,68.32,843891,Unknown,Weak Passwords,Antivirus,31,80.96
Russia,2020,DDoS,Healthcare,6.37,82576,Nation-state,Weak Passwords,VPN,40,77.14
France,2024,Ransomware,Banking,97.53,759522,Unknown,Weak Passwords,VPN,39,128.41
UK,2024,Ransomware,Banking,12.22,860343,Hacker Group,Weak Passwords,Antivirus,42,14.2
Australia,2023,Malware,Government,55.72,14483,Nation-state,Weak Passwords,Firewall,36,3847.27
Japan,2023,Malware,Telecommunications,67.77,871255,Hacker Group,Social Engineering,AI-based Detection,24,77.78
India,2019,Man-in-the-Middle,Government,98.86,48647,Unknown,Zero-day,Encryption,48,2032.19
Australia,2024,Phishing,Education,74.75,109907,Insider,Social Engineering,VPN,5,680.12
Brazil,2022,Man-in-the-Middle,Retail,89.11,749386,Unknown,Unpatched Software,Firewall,16,118.91
Russia,2018,Malware,Telecommunications,89.79,900723,Insider,Zero-day,Firewall,32,99.69
France,2024,Phishing,IT,49.75,943151,Nation-state,Zero-day,VPN,66,52.75
